,creditability,age.in.years_woe,credit.amount_woe,credit.history_woe,duration.in.month_woe,foreign.worker_woe,housing_woe,installment.rate.in.percentage.of.disposable.income_woe,job_woe,number.of.existing.credits.at.this.bank_woe,number.of.people.being.liable.to.provide.maintenance.for_woe,other.debtors.or.guarantors_woe,other.installment.plans_woe,personal.status.and.sex_woe,present.employment.since_woe,present.residence.since_woe,property_woe,purpose_woe,savings.account.and.bonds_woe,status.of.existing.checking.account_woe,telephone_woe
1,good,0.31121257,0.205852054,0.733740578,1.312186389,0,0.194156014,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,0.461034959,0.410062817,0.762140052,-0.614203978,0.098637588
2,bad,-0.528844129,-0.354821375,-0.088318617,-1.134979933,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.070150705,0.461034959,0.410062817,-0.271357844,-0.614203978,-0.064691321
3,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,0.190472769,0.078471615,-0.074877499,0.015408625,-0.027973852,0.121178625,0.30538165,0.298716667,0.054941118,0.461034959,-0.279920067,-0.271357844,1.176263223,-0.064691321
4,good,0.31121257,-0.354821375,-0.088318617,-0.524524468,0,-0.472604411,0.190472769,0.022780028,-0.074877499,0.015408625,0.587786665,0.121178625,0.30538165,0.298716667,-0.001152738,-0.028573372,-0.279920067,-0.271357844,-0.614203978,-0.064691321
5,bad,0.31121257,-0.354821375,-0.085157808,-0.108688306,0,-0.472604411,0.064538521,0.022780028,0.134780612,0.015408625,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,-0.064691321
6,good,0.31121257,-0.773189888,-0.088318617,-0.524524468,0,-0.472604411,0.190472769,0.078471615,-0.074877499,0.015408625,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.001152738,-0.586082361,-0.279920067,0.762140052,1.176263223,0.098637588
7,good,0.31121257,0.205852054,-0.088318617,-0.108688306,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.028573372,-0.279920067,0.762140052,1.176263223,-0.064691321
8,good,0.31121257,-0.354821375,-0.088318617,-0.524524468,0,-0.40444522,0.190472769,-0.204412515,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.070150705,-0.034191365,0.805625164,-0.271357844,-0.614203978,0.098637588
9,good,0.31121257,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.190472769,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,0.461034959,0.410062817,0.762140052,1.176263223,-0.064691321
10,bad,-0.060465196,-0.354821375,0.733740578,-0.108688306,0,0.194156014,-0.157300289,-0.204412515,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,-0.070150705,-0.034191365,-0.279920067,-0.271357844,-0.614203978,-0.064691321
11,bad,-0.528844129,0.205852054,-0.088318617,0.346624608,0,-0.40444522,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,0.112477983,-0.034191365,-0.279920067,-0.271357844,-0.614203978,-0.064691321
12,bad,-0.528844129,-0.354821375,-0.088318617,-1.134979933,0,-0.40444522,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,-0.001152738,-0.028573372,-0.279920067,-0.271357844,-0.614203978,-0.064691321
